Food Name,Price,Quantity
Classic Filter Coffee,70,1
Cappuccino,130,1
Cafe Latte,130,1
Americano,100,1
Caramel Macchiato,180,1
Hot Chocolate (Dark),150,1
Masala Chai (Kulhad),50,1
Lemon Ginger Honey Tea,80,1
Cold Coffee (Classic),160,1
Hazelnut Cold Coffee,190,1
Iced Americano,110,1
Peach Iced Tea,120,1
Virgin Mojito,140,1
Watermelon Cooler,150,1
Oreo Milkshake,200,1
Bun Maska,70,1
Cheese Garlic Toast,120,1
Masala Omelette with Toast,100,1
Scrambled Eggs on Toast,110,1
Paneer Bhurji with Pav,160,1
Classic French Toast,140,1
Poha (Indori Style),70,1
Upma (Veggies & Ghee),70,1
Veg Coleslaw Sandwich,100,1
Bombay Masala Toast,120,1
Corn & Cheese Sandwich,140,1
Paneer Tikka Sandwich,180,1
Chicken Mayo Sandwich,190,1
Veg Crispy Wrap,140,1
Paneer Kathi Roll,160,1
Chicken Egg Roll,180,1
Classic Veg Maggi,80,1
Cheese & Butter Maggi,120,1
Veggie Loaded Maggi,130,1
White Sauce Pasta,220,1
Red Sauce Pasta,200,1
Pink Sauce Pasta,240,1
Mac & Cheese,250,1
Peri-Peri French Fries,120,1
Cheese Loaded Fries,180,1
Veg Nachos with Salsa,160,1
Rajma Chawal Bowl,140,1
Chole Bhature,130,1
Veg Fried Rice,160,1
Chilli Paneer with Gravy,220,1
Egg Fried Rice,180,1
Chocolate Brownie,110,1
Brownie with Ice Cream,160,1
Classic Pancakes (Honey),140,1
Banana Walnut Cake Slice,90,1
